ts_code,name_manual,t0_category,t0_category_cn,reason,rows,start_time,end_time,trading_days,bad_ohlc_rows,non_positive_price_rows,negative_vol_amount_rows,duplicate_time_rows,max_rows_per_day,median_rows_per_day,total_amount,status,has_enough_data,selected_for_main
518880.SH,黄金ETF华安,commodity,商品ETF,黄金核心,174966,2022-01-04 09:30:00,2024-12-31 15:00:00,726,0,0,0,0,241,241.0,675901085287.0,exists,1,1
159934.SZ,黄金ETF易方达,commodity,商品ETF,黄金核心,174966,2022-01-04 09:30:00,2024-12-31 15:00:00,726,0,0,0,0,241,241.0,169816665480.40598,exists,1,1
159937.SZ,黄金ETF博时,commodity,商品ETF,黄金核心,174966,2022-01-04 09:30:00,2024-12-31 15:00:00,726,0,0,0,0,241,241.0,161633523321.445,exists,1,1
518800.SH,黄金ETF国泰,commodity,商品ETF,黄金核心，若接口无数据会自动剔除,174966,2022-01-04 09:30:00,2024-12-31 15:00:00,726,0,0,0,0,241,241.0,117058189997.0,exists,1,1
159985.SZ,豆粕ETF华夏,commodity,商品ETF,商品期货类,174966,2022-01-04 09:30:00,2024-12-31 15:00:00,726,0,0,0,0,241,241.0,94506511266.467,exists,1,1
159980.SZ,有色ETF,commodity,商品ETF,商品期货类，自动校验,174966,2022-01-04 09:30:00,2024-12-31 15:00:00,726,0,0,0,0,241,241.0,54212354431.043,exists,1,1
159981.SZ,能源化工ETF,commodity,商品ETF,商品期货类，自动校验,174966,2022-01-04 09:30:00,2024-12-31 15:00:00,726,0,0,0,0,241,241.0,21450665407.316998,exists,1,1
159518.SZ,标普油气ETF嘉实,commodity,商品ETF,油气，可能 2022 不完整,66275,2023-11-15 09:30:00,2024-12-31 15:00:00,275,0,0,0,0,241,241.0,9189911090.324,exists,0,0
513350.SH,标普油气ETF富国,commodity,商品ETF,油气，可能 2022 不完整,64106,2023-11-28 09:30:00,2024-12-31 15:00:00,266,0,0,0,0,241,241.0,4511668349.0,exists,0,0
513050.SH,中概互联网ETF易方达,cross_border,跨境,高波动跨境,174966,2022-01-04 09:30:00,2024-12-31 15:00:00,726,0,0,0,0,241,241.0,1132818058918.0,ok,1,1
513100.SH,纳指ETF国泰,cross_border,跨境,纳指,174966,2022-01-04 09:30:00,2024-12-31 15:00:00,726,0,0,0,0,241,241.0,345766288657.0,ok,1,1
159941.SZ,纳指ETF广发,cross_border,跨境,纳指,174966,2022-01-04 09:30:00,2024-12-31 15:00:00,726,0,0,0,0,241,241.0,416938892082.352,ok,1,1
513500.SH,标普500ETF博时,cross_border,跨境,标普500,174966,2022-01-04 09:30:00,2024-12-31 15:00:00,726,0,0,0,0,241,241.0,171730849367.0,ok,1,1
