ts_code,name,t0_category,t0_category_cn,rows,days,total_amount
513330.SH,恒生互联网ETF华夏,cross_border,跨境,174966,726,1848296964912.0
513180.SH,恒生科技ETF华夏,cross_border,跨境,174966,726,1624405770888.0
513050.SH,中概互联网ETF易方达,cross_border,跨境,174966,726,1132818058918.0
513090.SH,香港证券ETF易方达,cross_border,跨境,174966,726,872159704086.0
513060.SH,恒生医疗ETF博时,cross_border,跨境,174966,726,749459588786.0
159920.SZ,恒生ETF华夏,cross_border,跨境,173038,718,504783781398.058
513120.SH,港股创新药ETF广发,cross_border,跨境,145082,602,467554053047.0
159941.SZ,纳指ETF广发,cross_border,跨境,174966,726,416938892082.352
159792.SZ,港股通互联网ETF富国,cross_border,跨境,174966,726,395015323796.805
513100.SH,纳指ETF国泰,cross_border,跨境,174966,726,345766288657.0
510900.SH,H股ETF易方达,cross_border,跨境,174966,726,324846779568.0
513500.SH,标普500ETF博时,cross_border,跨境,174966,726,171730849367.0
513520.SH,日经ETF华夏,cross_border,跨境,174966,726,124486493107.0
513030.SH,德国ETF华安,cross_border,跨境,174966,726,29454012161.0
513000.SH,日经225ETF,cross_border,跨境,174966,726,22987543522.0
159612.SZ,标普500ETF国泰,cross_border,跨境,153758,638,18596764436.359
518880.SH,黄金ETF华安,gold_commodity,黄金商品,174966,726,675901085287.0
159934.SZ,黄金ETF易方达,gold_commodity,黄金商品,174966,726,169816665480.406
159937.SZ,黄金ETF博时,gold_commodity,黄金商品,174966,726,161633523321.445
518800.SH,黄金ETF国泰,gold_commodity,黄金商品,174966,726,117058189997.0
159985.SZ,豆粕ETF华夏,gold_commodity,黄金商品,174966,726,94506511266.467
159980.SZ,有色ETF,gold_commodity,黄金商品,174966,726,54212354431.043
159981.SZ,能源化工ETF,gold_commodity,黄金商品,174966,726,21450665407.317
