ts_code,name,t0_category,t0_category_cn,trade_date,rows,first_time,last_time,day_amount,day_vol,min_price,max_price,close_first,close_last,zero_amount_bars,zero_vol_bars,day_ret_raw,day_range,incomplete_day,zero_amount_day,extreme_day_range,extreme_day_ret
159612.SZ,标普500ETF国泰,cross_border,跨境,20220520,241,09:30,15:00,117905135.087,120917863,0.972,0.98,0.979,0.976,25,25,-0.003064351378958108,0.008230452674897082,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220523,241,09:30,15:00,43934816.973,44974671,0.973,0.982,0.978,0.982,67,67,0.004089979550102152,0.009249743062692772,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220524,241,09:30,15:00,16922949.305,17335842,0.972,0.981,0.981,0.973,91,91,-0.008154943934760461,0.0092592592592593,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220525,241,09:30,15:00,26664379.569,27206809,0.975,0.982,0.976,0.982,80,80,0.006147540983606481,0.007179487179487243,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220526,241,09:30,15:00,27841241.244,28179829,0.985,0.992,0.986,0.992,108,108,0.006085192697768749,0.007106598984771617,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220527,241,09:30,15:00,34181048.365,33797398,1.005,1.015,1.007,1.015,68,68,0.00794438927507457,0.00995024875621886,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220530,241,09:30,15:00,40261732.827,38941428,1.031,1.04,1.039,1.034,54,54,-0.004812319538017196,0.008729388942774197,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220531,241,09:30,15:00,25396166.637,24673454,1.025,1.033,1.029,1.027,91,91,-0.0019436345966957758,0.007804878048780495,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220601,241,09:30,15:00,19822031.417,19280018,1.022,1.03,1.025,1.029,126,126,0.0039024390243902474,0.007827788649706457,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220602,241,09:30,15:00,16671303.498,16355400,1.017,1.024,1.021,1.017,122,122,-0.003917727717923647,0.0068829891838742,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220606,241,09:30,15:00,23209156.926,22750860,1.014,1.023,1.016,1.023,132,132,0.006889763779527547,0.008875739644970349,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220607,241,09:30,15:00,22702197.107,22309100,1.014,1.021,1.019,1.018,143,143,-0.0009813542688910104,0.006903353057199135,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220608,241,09:30,15:00,8746704.748,8486381,1.028,1.032,1.029,1.03,152,152,0.0009718172983479434,0.0038910505836575737,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220609,241,09:30,15:00,7153703.8,6991500,1.021,1.03,1.021,1.024,163,163,0.002938295788442735,0.008814887365328206,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220610,241,09:30,15:00,35848985.63,35700805,1.003,1.01,1.007,1.004,82,82,-0.002979145978152853,0.006979062811565351,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220613,241,09:30,15:00,32079478.866,33149201,0.96,0.974,0.973,0.967,79,79,-0.006166495375128478,0.014583333333333393,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220614,241,09:30,15:00,15806566.774,16550400,0.947,0.96,0.95,0.96,92,92,0.010526315789473717,0.013727560718057141,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220615,241,09:30,15:00,18539893.555999998,19448723,0.95,0.958,0.957,0.954,73,73,-0.0031347962382445305,0.008421052631578885,False,False,False,False
159612.SZ,标普500ETF国泰,cross_border,跨境,20220616,241,09:30,15:00,11750926.572,12236834,0.95,0.969,0.967,0.952,85,85,-0.015511892450879028,0.020000000000000018,False,False,False,False
