feature,importance
bar_index,830
intraday_ret_from_open,715
hist_trend_med_10d,673
hist_range_med_5d,662
hist_trend_med_5d,657
hist_trend_med_20d,618
hist_range_med_10d,561
hist_trend_med_30d,509
hist_range_med_20d,490
vwap_gap,487
hist_range_med_30d,481
time_cos,477
hist_rv_med_5d,440
vwap_slope_20m,416
range_30m,394
hist_rv_med_10d,384
hist_amount_med_5d,364
dist_high_60m,347
hist_rv_med_20d,341
hist_rv_med_30d,312
hist_amount_med_10d,300
hist_amount_med_30d,297
hist_amount_med_20d,292
time_sin,269
rv_30m,254
dist_low_60m,235
rv_20m,214
vwap_slope_10m,213
range_20m,178
ret_30m,175
range_10m,156
minutes_since_open,154
pos_60m,139
dist_low_30m,119
dist_high_30m,116
vwap_slope_5m,107
new_high_count_20m,105
dist_high_20m,92
range_5m,88
dist_low_20m,87
rv_10m,78
ts_code_code,78
rv_ratio_10_30,77
dist_high_10m,69
range_ratio_5_20,67
amount_acc_10_30,64
ret_20m,61
ret_10m,52
ret_15m,50
vwap_gap_chg_20m,47
vwap_slope_3m,45
rv_ratio_5_20,44
dist_low_10m,43
pos_30m,42
new_high_count_10m,38
ret_2m,31
upper_shadow_ratio,29
pos_20m,29
lower_shadow_ratio,25
acc_ret_5_20,22
vwap_gap_chg_5m,20
rv_5m,18
vwap_gap_chg_10m,18
vwap_gap_chg_3m,17
ret_1m,17
curvature_5_20,17
amount_acc_5_20,16
ret_5m,16
vwap_slope_1m,15
vwap_gap_chg_1m,14
pos_10m,10
slope_20,10
ret_3m,9
price_volume_confirm_10m,8
slope_10,7
amount_z_30m,7
close_location,7
amount_z_20m,6
slope_5,5
acc_ret_3_10,4
green_count_5,4
price_volume_confirm_5m,4
amount_z_10m,3
body_ratio,3
acc_ret_1_3,2
amount_z_5m,2
new_high_count_5m,1
green_count_3,1
category_code,0
