feature,importance_ret,importance_downside,importance_total
hist_range_med_5d,1540,770,2310
hist_trend_med_5d,1193,840,2033
intraday_ret_from_open,1204,741,1945
hist_trend_med_10d,886,931,1817
hist_trend_med_20d,931,678,1609
bar_index,765,777,1542
hist_amount_med_5d,919,606,1525
hist_range_med_10d,875,617,1492
hist_trend_med_30d,732,637,1369
vwap_gap,919,446,1365
hist_range_med_20d,784,487,1271
hist_range_med_30d,725,458,1183
hist_rv_med_5d,594,545,1139
hist_amount_med_10d,658,480,1138
dist_intraday_high,578,529,1107
rebound_from_intraday_low,558,478,1036
hist_rv_med_30d,611,381,992
hist_rv_med_10d,491,445,936
hist_rv_med_20d,527,367,894
hist_amount_med_20d,471,365,836
hist_amount_med_30d,503,319,822
time_cos,421,377,798
range_30m,437,310,747
dist_high_60m,276,271,547
dist_low_60m,286,247,533
loo_cat_mean_ret_20m,376,122,498
vwap_slope_20m,194,279,473
cat_mean_ret_20m,267,103,370
time_sin,128,216,344
rv_30m,107,209,316
vwap_gap_bp,173,97,270
minutes_since_open,147,113,260
ret_30m,148,110,258
range_20m,61,181,242
rank_vwap_gap,102,105,207
vwap_slope_10m,48,127,175
rv_20m,61,114,175
pos_60m,58,116,174
dist_low_30m,86,88,174
dist_high_30m,88,82,170
ts_code_code,90,62,152
dist_low_10m,126,21,147
dist_low_20m,75,63,138
dist_high_20m,87,51,138
new_high_count_20m,28,90,118
dist_low_5m,70,33,103
rv_10m,44,47,91
rank_ret_3m,80,4,84
rank_ret_5m,63,13,76
rank_ret_10m,53,20,73
range_1m_bp,14,59,73
range_10m,12,53,65
rel_ret_20m,13,50,63
leader_ret_10m,20,41,61
range_5m,17,39,56
ret_30m_bp,35,21,56
vwap_slope_3m,31,25,56
vwap_slope_5m,12,40,52
laggard_ret_5m,7,39,46
dist_high_10m,32,11,43
mom_accel_5_20,10,33,43
new_high_count_10m,25,17,42
laggard_ret_10m,3,34,37
vwap_gap_chg_20m,6,30,36
rank_ret_20m,14,22,36
ret_20m,5,22,27
leader_ret_5m,3,22,25
ret_15m,2,23,25
dist_high_5m,5,19,24
cat_mean_ret_10m,3,20,23
ret_2m,18,4,22
pos_30m,7,15,22
ret_5m,14,8,22
amount_acc_10_30,4,17,21
loo_cat_mean_ret_10m,2,18,20
range_ratio_5_20,0,20,20
lower_shadow_ratio,0,20,20
upper_shadow_ratio,0,19,19
vwap_gap_chg_10m,0,12,12
green_count_5,0,11,11
loo_cat_mean_ret_3m,0,11,11
rv_ratio_10_30,1,10,11
amount_same_time_ratio_30d,7,4,11
loo_cat_mean_ret_5m,1,9,10
rv_5m,1,9,10
break_low_5m,0,10,10
rel_ret_10m,1,9,10
pos_20m,4,5,9
vwap_slope_1m,4,5,9
cat_mean_ret_5m,0,8,8
new_high_count_5m,5,3,8
rv_ratio_5_20,0,7,7
ret_20m_bp,3,3,6
pos_10m,4,1,5
rel_ret_5m,1,4,5
rel_ret_3m,0,5,5
ret_10m,0,5,5
pos_5m,0,5,5
curvature_5_20,0,5,5
amount_same_time_logratio_30d,0,4,4
vwap_gap_chg_1m,0,4,4
amount_same_time_ratio_20d,0,4,4
mom_accel_3_10,0,4,4
ret_lag_1,0,4,4
ret_15m_bp,0,4,4
ret_3m,3,1,4
cat_mean_ret_3m,1,2,3
ret_1m,0,3,3
ret_5m_bp,3,0,3
vwap_gap_chg_3m,0,2,2
amount_same_time_ratio_10d,0,2,2
amount_same_time_logratio_10d,0,2,2
vwap_gap_chg_5m,0,2,2
ret_2m_bp,2,0,2
ret_10m_bp,1,0,1
ret_amount_confirm_10m,0,1,1
mom_turn_3,0,1,1
price_volume_confirm_10m,0,1,1
ret_lag_3,0,1,1
mom_turn_5,0,1,1
amount_z_20m,0,1,1
amount_z_30m,0,1,1
amount_z_5m,0,1,1
amount_z_10m,0,1,1
amount_same_time_logratio_20d,0,1,1
amount_acc_5_20,0,1,1
ret_lag_4,0,1,1
body_ratio,0,0,0
break_high_10m,0,0,0
break_high_20m,0,0,0
break_high_5m,0,0,0
break_high_30m,0,0,0
break_high_60m,0,0,0
break_low_10m,0,0,0
break_low_30m,0,0,0
abs_body_ratio,0,0,0
close_location,0,0,0
category_code,0,0,0
candidate_event,0,0,0
break_low_60m,0,0,0
candidate_trend,0,0,0
candidate_reclaim,0,0,0
break_low_20m,0,0,0
green_count_3,0,0,0
price_volume_confirm_5m,0,0,0
rank_amount_z_10m,0,0,0
ret_lag_13,0,0,0
ret_lag_12,0,0,0
ret_amount_confirm_5m,0,0,0
ret_3m_bp,0,0,0
ret_lag_11,0,0,0
ret_lag_10,0,0,0
ret_lag_20,0,0,0
ret_lag_2,0,0,0
ret_lag_19,0,0,0
ret_lag_18,0,0,0
ret_lag_17,0,0,0
ret_lag_16,0,0,0
ret_lag_15,0,0,0
ret_lag_14,0,0,0
slope_5,0,0,0
slope_20,0,0,0
slope_10,0,0,0
ret_lag_5,0,0,0
ret_lag_6,0,0,0
ret_lag_7,0,0,0
ret_lag_8,0,0,0
ret_lag_9,0,0,0
